Device,Temperature (C),Humidity,Timestamp
SHTC3,23.430,75.010,2022-06-16 18:07:37.259216+00:00
SHTC3,23.410,75.010,2022-06-16 18:07:37.769967+00:00
SHTC3,23.440,75.010,2022-06-16 18:07:38.284964+00:00
SHTC3,23.450,75.030,2022-06-16 18:07:38.797852+00:00
SHTC3,23.420,75.000,2022-06-16 18:07:39.309982+00:00
SHTC3,23.450,75.010,2022-06-16 18:07:39.824206+00:00
SHTC3,23.460,75.010,2022-06-16 18:07:40.339930+00:00
SHTC3,23.450,75.010,2022-06-16 18:07:40.853047+00:00
SHTC3,23.420,75.010,2022-06-16 18:07:41.354951+00:00
SHTC3,23.430,75.000,2022-06-16 18:07:41.865770+00:00
SHTC3,23.420,75.000,2022-06-16 18:07:42.375649+00:00
SHTC3,23.420,75.020,2022-06-16 18:07:42.888856+00:00
SHTC3,23.440,74.990,2022-06-16 18:07:43.402295+00:00
SHTC3,23.450,75.000,2022-06-16 18:07:43.915377+00:00
SHTC3,23.390,75.000,2022-06-16 18:07:44.416367+00:00
SHTC3,23.430,75.000,2022-06-16 18:07:44.927030+00:00
SHTC3,23.430,74.970,2022-06-16 18:07:45.433764+00:00
SHTC3,23.460,74.990,2022-06-16 18:07:45.945824+00:00
SHTC3,23.430,74.990,2022-06-16 18:07:46.461332+00:00
SHTC3,23.410,75.010,2022-06-16 18:07:46.975487+00:00
SHTC3,23.450,74.990,2022-06-16 18:07:47.487676+00:00
SHTC3,23.420,75.000,2022-06-16 18:07:48.003589+00:00
SHTC3,23.390,74.950,2022-06-16 18:07:48.516677+00:00
SHTC3,23.420,75.000,2022-06-16 18:07:49.030295+00:00
SHTC3,23.420,74.980,2022-06-16 18:07:49.539515+00:00
SHTC3,23.430,75.010,2022-06-16 18:07:50.049332+00:00
SHTC3,23.430,74.980,2022-06-16 18:07:50.550752+00:00
SHTC3,23.420,74.970,2022-06-16 18:07:51.059490+00:00
SHTC3,23.470,74.990,2022-06-16 18:07:51.570905+00:00
