Device,Current (mA),Timestamp
INA219,11.200,2022-06-16 18:10:26.189166+00:00
INA219,11.000,2022-06-16 18:10:26.656943+00:00
INA219,11.200,2022-06-16 18:10:27.217934+00:00
INA219,11.200,2022-06-16 18:10:27.670902+00:00
INA219,11.500,2022-06-16 18:10:28.229636+00:00
INA219,11.100,2022-06-16 18:10:28.699679+00:00
INA219,11.300,2022-06-16 18:10:29.263646+00:00
INA219,11.000,2022-06-16 18:10:29.712123+00:00
INA219,11.200,2022-06-16 18:10:30.271011+00:00
INA219,11.200,2022-06-16 18:10:30.735227+00:00
INA219,11.300,2022-06-16 18:10:31.292127+00:00
INA219,11.200,2022-06-16 18:10:31.760679+00:00
INA219,10.900,2022-06-16 18:10:32.318570+00:00
INA219,11.300,2022-06-16 18:10:32.775004+00:00
INA219,11.300,2022-06-16 18:10:33.335725+00:00
INA219,11.300,2022-06-16 18:10:33.802350+00:00
INA219,11.100,2022-06-16 18:10:34.358069+00:00
INA219,11.300,2022-06-16 18:10:34.825241+00:00
INA219,11.100,2022-06-16 18:10:35.386764+00:00
INA219,11.000,2022-06-16 18:10:35.854795+00:00
INA219,11.400,2022-06-16 18:10:36.419703+00:00
INA219,10.900,2022-06-16 18:10:36.869543+00:00
INA219,11.000,2022-06-16 18:10:37.431696+00:00
INA219,10.900,2022-06-16 18:10:37.898337+00:00
INA219,11.000,2022-06-16 18:10:38.457524+00:00
INA219,11.200,2022-06-16 18:10:38.917508+00:00
INA219,11.200,2022-06-16 18:10:39.474989+00:00
INA219,11.000,2022-06-16 18:10:39.941230+00:00
INA219,11.200,2022-06-16 18:10:40.503401+00:00
INA219,11.300,2022-06-16 18:10:40.970595+00:00
INA219,11.200,2022-06-16 18:10:41.531186+00:00
INA219,11.000,2022-06-16 18:10:41.999498+00:00
INA219,11.300,2022-06-16 18:10:42.562593+00:00
INA219,11.300,2022-06-16 18:10:43.030791+00:00
INA219,11.000,2022-06-16 18:10:43.589440+00:00
INA219,11.300,2022-06-16 18:10:44.054499+00:00
INA219,11.200,2022-06-16 18:10:44.614858+00:00
INA219,11.000,2022-06-16 18:10:45.082582+00:00
INA219,11.100,2022-06-16 18:10:45.647208+00:00
INA219,11.300,2022-06-16 18:10:46.105214+00:00
INA219,11.100,2022-06-16 18:10:46.666182+00:00
INA219,11.400,2022-06-16 18:10:47.120679+00:00
INA219,11.200,2022-06-16 18:10:47.682593+00:00
INA219,11.200,2022-06-16 18:10:48.136938+00:00
INA219,11.100,2022-06-16 18:10:48.696937+00:00
INA219,10.900,2022-06-16 18:10:49.163538+00:00
INA219,11.100,2022-06-16 18:10:49.727372+00:00
INA219,11.000,2022-06-16 18:10:50.190596+00:00
INA219,11.200,2022-06-16 18:10:50.752549+00:00
INA219,11.300,2022-06-16 18:10:51.208294+00:00
INA219,11.300,2022-06-16 18:10:51.767543+00:00
INA219,11.200,2022-06-16 18:10:52.237071+00:00
INA219,11.100,2022-06-16 18:10:52.798240+00:00
INA219,11.200,2022-06-16 18:10:53.264879+00:00
INA219,11.400,2022-06-16 18:10:53.829229+00:00
INA219,11.300,2022-06-16 18:10:54.295838+00:00
INA219,11.300,2022-06-16 18:10:54.854984+00:00
INA219,11.300,2022-06-16 18:10:55.309316+00:00
